HALTER_ID,ALTER,GESCHLECHT,STADTKREIS,STADTQUARTIER,RASSE1,RASSE1_MISCHLING,RASSE2,RASSE2_MISCHLING,RASSENTYP,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
80516,"41-50","m",3,"33","Malteser","Mischling",,,"K",2005,"w","weiss/braun"
80521,"61-70","w",11,"111","Deutscher Schäfer",,,,"I",2005,"m","schwarz/braun"
80525,"71-80","m",7,"72","Zwergpudel",,,,"K",2011,"m","schwarz"
80530,"81-90","w",2,"21","Pudel",,,,,2005,"w","schwarz"
80536,"71-80","m",2,"21","Schweizer Niederlaufhund",,,,"K",2007,"m","weiss/orange"
80538,"61-70","w",2,"24","English Cocker Spaniel",,,,"K",2011,"m","schwarz/weiss"
80544,"81-90","m",11,"119","Dackel",,,,"K",2008,"w","braun"
80545,"51-60","m",9,"91","Border Terrier",,,,"K",2010,"w","red grizzle"
80545,"51-60","m",9,"91","Border Terrier",,,,"K",2006,"w","schwarz/braun"
80552,"51-60","w",9,"92","Windspiel",,,,"I",1999,"w","grau"
80552,"51-60","w",9,"92","Windspiel",,,,"I",2004,"w","beige/weiss"
80553,"81-90","w",2,"21","Jack Russel Terrier",,,,"K",2002,"m","weiss/schwarz"
80556,"81-90","m",3,"31","Mops",,,,"K",2009,"m","gestromt"
80571,"51-60","m",3,"31","Mischling klein",,,,"K",2013,"w","schwarz/braun"
80575,"81-90","w",4,"42","Mischling klein",,,,"K",2008,"w","weiss/beige"
80584,"71-80","w",8,"82","Labrador Retriever",,,,"I",2009,"m","schwarz"
80602,"61-70","w",12,"122","Bolonka Zwetna",,,,"K",2011,"m","weiss"
80604,"71-80","m",7,"72","Labrador Retriever",,,,"I",2012,"w","schwarz"
80604,"71-80","m",7,"72","Labrador Retriever",,,,"I",2004,"w","schwarz"
80604,"71-80","m",7,"72","Labrador Retriever",,,,"I",2009,"w","braun"
80607,"81-90","w",10,"101","West Highland White Terrier",,,,"K",2004,"w","weiss"
80608,"81-90","w",2,"24","Deutscher Schäfer",,,,"I",2004,"w","schwarz/gelb"
80618,"61-70","w",8,"83","Irish Terrier",,,,"I",2005,"w","rot"
80622,"61-70","m",6,"61","Parson Russell Terrier",,,,"K",2002,"w","weiss/braun"
80628,"61-70","m",9,"91","Labrador Retriever",,,,"I",2005,"m","schwarz"
80630,"81-90","m",3,"34","Zwergpudel",,,,"K",2003,"m","apricot"
80631,"71-80","w",11,"115","Tervueren",,,,"I",2005,"w","braun/schwarz"
80637,"81-90","m",12,"123","Mischling klein",,,,"K",2005,"w","schwarz/braun/weiss"
80645,"71-80","w",2,"21","Berner Sennenhund",,,,"I",2013,"w","tricolor"
80645,"71-80","w",2,"21","Berner Sennenhund",,,,"I",2010,"w","schwarz/braun/weiss"
80647,"61-70","m",11,"111","Golden Retriever",,,,"I",2010,"m","blondfarben"
80648,"41-50","m",11,"111","Belgischer Schäfer",,"Groenendael",,"I",2015,"m","schwarz"
80653,"61-70","m",7,"73","Groenendael",,,,"I",2009,"w","schwarz"
80656,"71-80","m",10,"101","Pointer",,,,"I",2008,"w","weiss"
80657,"71-80","w",11,"119","Cairn Terrier",,,,"K",2000,"m","brindle"
80659,"51-60","w",3,"33","English Springer Spaniel",,,,"I",2012,"m","schwarz/weiss"
80661,"61-70","w",7,"72","Chihuahua",,,,"K",2014,"w","schwarz/beige"
80663,"81-90","w",7,"73","Malteser",,,,"K",2003,"m","weiss"
80684,"71-80","w",2,"21","Bergamasker","Mischling",,,"I",2009,"m","tricolor"
80698,"41-50","w",11,"119","Pudel",,,,,1999,"m","apricot"
80698,"41-50","w",11,"119","Toypudel",,,,"K",2010,"m","weiss"
80700,"51-60","w",2,"21","Podenco",,,,"I",2009,"w","braun/schwarz"
80700,"51-60","w",2,"21","Mischling klein",,,,"K",2007,"w","braun/weiss"
80708,"71-80","w",11,"119","West Highland White Terrier",,,,"K",2000,"m","weiss"
80713,"61-70","m",11,"111","Dackel",,,,"K",2012,"w","rot"
80715,"61-70","m",6,"61","Mischling klein",,,,"K",2007,"m","rehbraun"
80719,"61-70","w",11,"111","Parson Terrier","Mischling",,,"K",2005,"m","beige"
80719,"61-70","w",11,"111","Jack Russel Terrier",,,,"K",2004,"m","weiss/schwarz/braun"
